title,abstract
Héctor Rossetto,"Héctor Decio Rossetto (September 8, 1922 in Bahía Blanca, Argentina – January 23, 2009 in Buenos Aires) was one of the best chess players in Argentine history."
Shatranj ke Khiladi,"""Shatranj Ke Khilari"" (The Chess Players) is a 1924 Hindi short-story written by Munshi Premchand.  Premchand also made the Urdu version titled ""Shatranj ki bazi""."
Chess City,"Chess City (also referred to as City-Chess;  Siti-Chess or  Gorod Shakhmat, , Siti-Çess) is a large complex devoted to chess and chess competitions located east of Elista, Kalmykia, in Russia.  The neighborhood-size development consists of a central, four-story domed City Chess Hall surrounded by an Olympic-style village of Californian-Mediterranean Revival Style architecture."
Enochian chess,"Enochian chess is a four-player chess variant, similar to Chaturanga, associated with the Hermetic Order of the Golden Dawn. The name comes from the Enochian system of magic of Dr."
Leo Battesti,"Léo Battesti (born 6 November 1953) is a Corsican politician, journalist, and chess enthusiast."
European Individual Chess Championship,The European Individual Chess Championship is a chess tournament organised by the European Chess Union. It was established in 2000 and has since then taken place on a yearly basis.
Mark Dvoretsky,"Mark Izrailovich Dvoretsky (; December 9, 1947 – September 26, 2016) was a Russian chess trainer, writer, and International Master."
Ikarus,Ikarus is a computer chess program created by brothers Munjong and Muntsin Kolss.
World Computer Speed Chess Championship,World Computer Speed Chess Championship is an annual event where computer chess engines compete against each other at blitz chess time controls.  It is held in conjunction with the World Computer Chess Championship.
Nicolas Rossolimo,"Nicolas Rossolimo (; February 28, 1910, Kiev – July 24, 1975, New York) was an American-French-Greek-Russian chess Grandmaster. After acquiring Greek citizenship in 1929, he was able to emigrate that year to France, and was many times chess champion of Paris."
Chess Engines Grand Tournament,"Chess Engines Grand Tournament, also known as CEGT, is an organization that tests computer chess software by playing chess engines against one another and publishing a ratings table."
Australian Chess Federation,"The Australian Chess Federation (ACF) is dedicated to promoting the game of chess in Australia, and is a member of FIDE, the World Chess Federation."
Karol Irzykowski,"Karol Irzykowski (Błaszkowa, near Pilzno, 23 January 1873 – 2 November 1944, Żyrardów) was a Polish writer, literary critic, film theoretician, and chess player. Between 1933–1939 in the Second Polish Republic he was a member of the prestigious Polish Academy of Literature founded by the decree of the Council of Ministers."
35th Chess Olympiad,"The 35th Chess Olympiad, organized by the Fédération Internationale des Échecs and comprising an openAlthough commonly referred to as the men's division, this section is open to both male and female players. and women's tournament, took place between October 25 and November 11, 2002, in Bled, Slovenia."
McMahon system tournament,A McMahon system tournament is a tournament design for games such as go and chess that improves upon the Swiss system tournament's rules.  It can be understood as a generalization of the Swiss system.
Classical World Chess Championship 2000,"The Classical World Chess Championship 2000, known at the time as the Braingames World Chess Championships,Due to the sponsorship by Braingames, the match was known at the time as the Braingames World Chess Championships. Kramnik would later refer to the title as the ""Classical"" World Championship, hence this 2000 match was also a match for the ""Classical"" title."
Buchholz system,"The Buchholz system (also spelled Buchholtz) is a ranking or scoring system in chess developed by Bruno Buchholz (died ca. 1958) in 1932, for Swiss system tournaments ."
European Team Chess Championship,"The European Team Championship (often abbreviated in texts and games databases as ETC) is an international team chess event, eligible for the participation of European nations whose chess federations are located in zones 1.1 to 1."
Modern Chess Openings,"Modern Chess Openings (usually called ) is a reference book on chess openings, first published in 1911 by the British players Richard Clewin Griffith (1872–1955) and John Herbert White (1880–1920). It has since been through fifteen editions."
34th Chess Olympiad,"The 34th Chess Olympiad, organized by the Fédération Internationale des Échecs and comprising an openAlthough commonly referred to as the men's division, this section is open to both male and female players. and women's tournament, took place between  October 28 and November 12, 2000, in Istanbul, Turkey."
33rd Chess Olympiad,"The 33rd Chess Olympiad, organized by FIDE and comprising an openAlthough commonly referred to as the men's division, this section is open to both male and female players. and a women's tournament, took place between September 26 and October 13, 1998, in Elista, Kalmykia, Russia."
Armenian Chess Championship,"This is a list of all the winners of the Armenian Chess Championship. The first championship was played in 1934, when Armenia was a part of the Transcaucasian SFSR."
Paraguayan Chess Championship,The Paraguayan Chess Championship is the national chess championship of Paraguay.
32nd Chess Olympiad,"The 32nd Chess Olympiad, organized by FIDE and comprising an openAlthough commonly referred to as the men's division, this section is open to both male and female players. and a women's tournament, took place between September 15 and October 2, 1996, in Yerevan, Armenia."
Stepan Popel,"Stepan (Stefan, Stephan, Stephen)  Popel (Popiel)  (born 15 August 1909, Komarniki, Galicia, Austria-Hungary  (now Ukraine) – died 27 December 1987, Fargo, North Dakota, USA) was a multiple chess champion of Lviv, Paris and eventually, of the Ukrainians in North America (USA and Canada).Vistula :: Jeden z Lwowiego Grodu"
Ukrainian Chess Championship,"This is a list of all the winners of the Ukrainian Chess Championship, including those held when Ukraine was a Soviet republic and those held after Ukraine became independent.  Players' names listed in parentheses indicate that the player won the tournament but did not receive the title since he was an outside competitor."
31st Chess Olympiad,"The 31st Chess Olympiad, organized by FIDE and comprising an openAlthough commonly referred to as the men's division, this section is open to both male and female players. and a women's tournament, took place between November 30 and December 17, 1994, in Moscow, Russia."
Ignatz von Popiel,"Ignatz (Ignaz, Ignacy) von Popiel  (27 July 1863 – 2 May 1941) was a Polish-Ukrainian chess player."
Povilas Vaitonis,"Povilas (Paul) Vaitonis (15 August 1911 in Užpaliai,Kaunas, according to Passengers of the Piriápolis Kovno Governorate – 23 April 1983 in Hamilton, Canada) was a Lithuanian–Canadian International Master of chess. He was a five-time Lithuanian champion, and was twice Canadian champion."
Isakas Vistaneckis,"Isakas Vistaneckis (Isaak, Itzhak Vistinietzki) (29 September 1910 in Marijampolė – 30 December 2000 in Tel Aviv) was a Lithuanian Jewish chess master."
Alexander Evenson,"Alexandr Moyseyevich Evensohn (Evenson, Evensson) (1892–1919) was a Russian chess master."
Sport in Montenegro,"The Sports in Montenegro revolves mostly around team sports, such as football, basketball, water polo, volleyball, and handball. Other sports involved are boxing, tennis, swimming, judo, karate, athletics, table tennis, and chess."
Karel Hromádka,"Karel Hromádka (23 April 1887 in Großweikersdorf, Austria – 16 July 1956) was a Czech chess player, two-time Czech champion, 1913 and 1921 (jointly)."
Gunnar Friedemann,Gunnar Friedemann (22 September 1909 in TallinnPassengers of the Piriápolis – 22 February 1944) was an Estonian chess master.
Ilmar Raud,Ilmar Raud (30 April 1913 – 13 July 1941) was an Estonian chess master.Eesti Maleliit - Content
Fricis Apšenieks,"Fricis (Fritzis, Franz) Apšenieks (Apscheneek) (7 April 1894 in Tetele, Latvia – 25 April 1941 in Riga, Latvia) was a Latvian chess master."
Miroslav Katětov,"Miroslav Katětov (; March 17, 1918, Chembar, Russia – December 15, 1995) was a Czech mathematician, chess master, and psychologist. His research interests in mathematics included topology and functional analysis."
Circular chess,"Circular chess is a chess variant played using the standard set of pieces on a circular board consisting of four rings, each of sixteen squares. This is topologically equivalent to playing on the surface of a cylinder."
